source_path,source_product_identifier,sku,current_product_id,in_current_keep_set,image_reference_count,valid_image_count,image_complete,exclusion_reason
newel.com/product/swedish-gustavian-style-burl-birch-tIlt-top-table-064625.html,Swedish Gustavian style burl & birch tIlt-top table,064625,product-064625,yes,66,16,yes,
newel.com/product/swedish-neo-classic-monumental-cream-painted-and-parcel-gilt-wall-mirror.html,Swedish Neo-Classic Monumental Cream Painted and Parcel-Gilt Wall Mirror,REG4004,product-reg4004,yes,66,61,yes,
newel.com/product/swedish-neoclassical-ebonized-benches-with-side-arms.html,Pair of Swedish Neoclassical Ebonized Benches with Side Arms,NWL7924,product-nwl7924,yes,66,0,yes,
newel.com/product/table-coffee-table-mid-century-french-palisander-mto60399b.html,Customizable French 1940s Style Mahogany Veneer Coffee Table (manner of Maxime Old),MTO60399B,product-mto60399b,yes,11,1,yes,
newel.com/product/thai-gilt-and-jeweled-figures-1.html,Pair of Thai Gilt and Jeweled Figures,012668B,product-012668b,yes,36,2,yes,
newel.com/product/Thai-Gold-and-Red-Wooden-Bodhisattva-Statues.html,Thai Gold and Red Wooden Bodhisattva Statues,NWL2204,product-nwl2204,yes,150,150,yes,
newel.com/product/the-pillar-bronze-brutalist-contemporary-figural-sculpture-by-newel-modern.html,"""The Pillar"" Limited Edition Bronze Brutalist Contemporary Figural Sculpture",MOD2089,product-mod2089,yes,90,90,yes,
newel.com/product/the-preacher-bronze-brutalist-contemporary-figural-sculpture-by-newel-modern.html,"""The Preacher"" Limited Edition Bronze Brutalist Contemporary Figural Sculpture",MOD2087,product-mod2087,yes,60,60,yes,
newel.com/product/the-seer-bronze-brutalist-contemporary-figural-sculpture-by-newel-modern.html,"""The Seer"" Limited Edition Bronze Brutalist Contemporary Figural Sculpture",MOD2082,product-mod2082,yes,60,60,yes,
newel.com/product/the-wait-bronze-brutalist-contemporary-figural-sculpture-by-newel-modern.html,"""The Wait"" Limited Edition Bronze Brutalist Contemporary Figural Sculpture",MOD2083,product-mod2083,yes,60,60,yes,
newel.com/product/toco-counter-stool-walnut-by-newel-modern-1.html,Toco Counter Stool (Walnut),MOD2058,product-mod2058,yes,66,66,yes,
newel.com/product/tristan-govignon-celestial-offerings-old-man-in-the-moon-mount1.html,"Tristan Govignon ""Celestial Offerings, Old Man in the Moon"" Mount",GOV011F,product-gov011f,yes,15,0,yes,
newel.com/product/tristan-govignon-celestial-offerings-triple-sunburst-mount1.html,"Tristan Govignon ""Celestial Offerings, Triple Sunburst"" Mount",GOV011E,product-gov011e,yes,15,0,yes,
newel.com/product/victorian-bamboo-triptych-cheval-mirror.html,French Victorian Faux Bamboo Triptych Cheval Mirror,037757A,product-037757a,yes,54,54,yes,
newel.com/product/victorian-bronze-dore-peacock-figure.html,Victorian Bronze Dore Peacock Figure,042378,product-042378,yes,77,3,yes,
newel.com/product/victorian-pine-draped-female-figures.html,Victorian Pine Draped Female Figures,035068B,product-035068b,yes,53,3,yes,
newel.com/product/victorian-stripped-musician-figures.html,Pair of Victorian Stripped Musician Figures,037391C,product-037391c,yes,42,39,yes,
newel.com/product/vienesse-sessionist-movement-side-chairs.html,Mid-Century (possibly Swedish) mahogany side chair,REG4850,product-reg4850,yes,60,58,yes,
newel.com/product/viennese-sucessionist-egyptian-revival-thebes-stools.html,Pair of Viennese Secessionist Egyptian Revival Thebes Stools,NWL7571,product-nwl7571,yes,53,53,yes,
newel.com/product/vittorio-dassi-mid-century-italian-modern-walnut-and-black-leather-upholstered-long-bench-.html,Vittorio Dassi Mid-Century Italian Modern Walnut and Black Leather Upholstered Long Bench,REG4978,product-reg4978,yes,60,60,yes,
newel.com/product/white-and-pink-loop-armchairs.html,newel.com | 520: Web server is returning an unknown error,,,no,0,0,no,Cloudflare/HTTP error shell; incomplete images; excluded from keep-set
